order_id,order_date,delivery_date,business_id,rider_id,flour_type_id,quantity_bags,price_per_bag,total_amount,payment_method,order_status
ORD-108203,2025-10-20,2025-10-20,BIZ-1022,1,4,9,10500.0,94500.0,Cash,Pending
ORD-681542,2025-10-21,2025-10-21,BIZ-1016,4,5,21,9800.0,205800.0,Cash,Pending
ORD-795613,2025-10-09,2025-10-09,BIZ-1057,2,4,18,10500.0,189000.0,Cash,Delivered
ORD-240814,2025-10-04,2025-10-04,BIZ-1056,2,2,35,9500.0,332500.0,POS,Delivered
ORD-212235,2025-10-08,2025-10-08,BIZ-1036,1,2,3,9500.0,28500.0,Bank Transfer,Cancelled
ORD-262998,2025-10-23,2025-10-23,BIZ-1036,1,3,10,9800.0,98000.0,POS,Delivered
ORD-734210,2025-10-09,2025-10-09,BIZ-1008,4,1,37,9800.0,362600.0,Cash,Delivered
ORD-459536,2025-10-07,2025-10-07,BIZ-1032,1,5,39,9500.0,370500.0,Bank Transfer,Cancelled
ORD-765046,2025-10-07,2025-10-07,BIZ-1048,4,3,2,10000.0,20000.0,POS,Delivered
ORD-629959,2025-10-26,2025-10-26,BIZ-1019,3,5,5,9800.0,49000.0,POS,Cancelled
ORD-987204,2025-10-15,2025-10-15,BIZ-1005,2,3,8,9500.0,76000.0,POS,Pending
ORD-765095,2025-10-02,2025-10-02,BIZ-1030,3,3,5,10000.0,50000.0,Cash,Delivered
ORD-390120,2025-10-13,2025-10-13,BIZ-1003,4,2,28,10000.0,280000.0,Cash,Delivered
ORD-449759,2025-10-02,2025-10-02,BIZ-1003,4,3,34,10000.0,340000.0,Cash,Cancelled
ORD-768061,2025-10-24,2025-10-24,BIZ-1044,2,2,38,10000.0,380000.0,Bank Transfer,Pending
ORD-269430,2025-10-30,2025-10-30,BIZ-1033,4,3,29,10000.0,284200.0,Cash,Delivered
ORD-678478,2025-10-23,2025-10-23,BIZ-1059,1,3,32,10000.0,320000.0,Bank Transfer,Pending
ORD-688153,2025-10-22,2025-10-22,BIZ-1058,2,5,17,10000.0,170000.0,POS,Delivered
ORD-178898,2025-10-01,2025-10-01,BIZ-1051,3,2,34,9800.0,333200.0,POS,Pending
ORD-824586,2025-10-29,2025-10-29,BIZ-1041,4,3,32,9800.0,313600.0,Cash,Delivered
ORD-672092,2025-10-28,2025-10-28,BIZ-1053,1,3,6,10000.0,60000.0,POS,Delivered
ORD-487151,2025-10-02,2025-10-02,BIZ-1026,4,5,20,10000.0,200000.0,Cash,Cancelled
ORD-255287,2025-10-18,2025-10-18,BIZ-1019,2,3,36,10000.0,360000.0,Cash,Pending
ORD-143860,2025-10-13,2025-10-13,BIZ-1040,3,2,17,9800.0,166600.0,Cash,Delivered
ORD-934794,2025-10-10,2025-10-10,BIZ-1026,1,2,35,9800.0,343000.0,POS,Pending
ORD-141832,2025-10-30,2025-10-30,BIZ-1013,3,2,18,10000.0,180000.0,Cash,Delivered
ORD-320281,2025-10-27,2025-10-27,BIZ-1004,2,4,24,10000.0,235200.0,POS,Cancelled
ORD-799330,2025-10-21,2025-10-21,BIZ-1016,3,4,9,10000.0,90000.0,POS,Pending
ORD-918011,2025-10-04,2025-10-04,BIZ-1058,3,4,9,10500.0,94500.0,POS,Pending
ORD-526117,2025-10-17,2025-10-17,BIZ-1001,4,5,31,10500.0,325500.0,Bank Transfer,Delivered
ORD-885884,2025-10-30,2025-10-30,BIZ-1013,3,1,17,10500.0,178500.0,Cash,Pending
ORD-348237,2025-10-05,2025-10-05,BIZ-1033,1,2,5,9500.0,47500.0,POS,Pending
ORD-938742,2025-10-26,2025-10-26,BIZ-1016,3,3,6,9800.0,58800.0,POS,Cancelled
ORD-532322,2025-10-25,2025-10-25,BIZ-1035,4,3,40,9800.0,392000.0,Cash,Pending
ORD-872343,2025-10-01,2025-10-01,BIZ-1011,2,4,38,10000.0,399000.0,POS,Cancelled
ORD-920391,2025-10-28,2025-10-28,BIZ-1013,1,5,7,9800.0,68600.0,POS,Delivered
ORD-941204,2025-10-28,2025-10-28,BIZ-1024,1,4,11,9800.0,107800.0,Bank Transfer,Delivered
ORD-870763,2025-10-21,2025-10-21,BIZ-1020,4,5,27,10500.0,283500.0,Bank Transfer,Delivered
ORD-379766,2025-10-25,2025-10-25,BIZ-1035,4,4,19,10000.0,190000.0,POS,Delivered
ORD-835343,2025-10-05,2025-10-05,BIZ-1055,4,4,17,9800.0,166600.0,POS,Delivered
ORD-140605,2025-10-04,2025-10-04,BIZ-1016,1,4,10,10000.0,100000.0,Bank Transfer,Delivered
ORD-333238,2025-10-26,2025-10-26,BIZ-1042,4,4,20,10000.0,200000.0,Cash,Cancelled
ORD-582662,2025-10-06,2025-10-06,BIZ-1038,2,3,20,10500.0,210000.0,Cash,Delivered
ORD-960394,2025-10-11,2025-10-11,BIZ-1002,4,5,39,9500.0,370500.0,POS,Pending
ORD-338651,2025-10-24,2025-10-24,BIZ-1011,1,4,2,9500.0,19000.0,POS,Pending
ORD-792094,2025-10-07,2025-10-07,BIZ-1009,1,3,37,9500.0,351500.0,POS,Cancelled
ORD-444207,2025-10-06,2025-10-06,BIZ-1028,1,3,29,10000.0,290000.0,POS,Pending
ORD-172792,2025-10-09,2025-10-09,BIZ-1008,2,3,6,10500.0,63000.0,Cash,Pending
ORD-392683,2025-10-30,2025-10-30,BIZ-1060,2,1,7,9800.0,68600.0,POS,Pending
ORD-634150,2025-10-11,2025-10-11,BIZ-1023,3,3,19,10500.0,199500.0,Bank Transfer,Pending
ORD-984642,2025-10-12,2025-10-12,BIZ-1013,3,3,17,10000.0,170000.0,POS,Delivered
ORD-128941,2025-10-17,2025-10-17,BIZ-1039,4,4,35,10500.0,367500.0,Bank Transfer,Cancelled
ORD-373903,2025-10-04,2025-10-04,BIZ-1001,4,4,24,10500.0,252000.0,Bank Transfer,Pending
ORD-378361,2025-10-06,2025-10-06,BIZ-1027,2,1,36,9800.0,352800.0,POS,Pending
ORD-725550,2025-10-02,2025-10-02,BIZ-1019,1,2,8,9500.0,76000.0,Cash,Cancelled
ORD-863934,2025-10-14,2025-10-14,BIZ-1036,3,2,1,10500.0,10500.0,Bank Transfer,Pending
ORD-557592,2025-10-24,2025-10-24,BIZ-1054,4,5,8,9800.0,78400.0,POS,Cancelled
ORD-636265,2025-10-19,2025-10-19,BIZ-1054,4,3,18,10500.0,189000.0,Bank Transfer,Pending
ORD-704596,2025-10-04,2025-10-04,BIZ-1046,4,2,36,9800.0,352800.0,POS,Cancelled
ORD-146542,2025-10-06,2025-10-06,BIZ-1014,2,3,9,9500.0,85500.0,Cash,Cancelled
ORD-101773,2025-10-22,2025-10-22,BIZ-1060,2,5,18,9500.0,171000.0,POS,Cancelled
ORD-945687,2025-10-16,2025-10-16,BIZ-1053,4,3,32,9800.0,313600.0,Cash,Pending
ORD-854377,2025-10-17,2025-10-17,BIZ-1031,4,5,36,10500.0,378000.0,Bank Transfer,Cancelled
ORD-872840,2025-10-29,2025-10-29,BIZ-1012,1,3,16,10500.0,168000.0,Bank Transfer,Pending
ORD-481913,2025-10-21,2025-10-21,BIZ-1026,4,2,31,10500.0,325500.0,Cash,Delivered
ORD-796503,2025-10-13,2025-10-13,BIZ-1043,3,3,9,10000.0,90000.0,Bank Transfer,Cancelled
ORD-753425,2025-10-28,2025-10-28,BIZ-1002,1,3,30,9500.0,285000.0,POS,Delivered
ORD-989208,2025-10-10,2025-10-10,BIZ-1058,2,5,5,10500.0,52500.0,POS,Cancelled
ORD-414910,2025-10-04,2025-10-04,BIZ-1027,2,3,26,9500.0,247000.0,Cash,Cancelled
ORD-799287,2025-10-16,2025-10-16,BIZ-1013,3,2,32,9500.0,304000.0,POS,Cancelled
ORD-521947,2025-10-13,2025-10-13,BIZ-1007,3,3,19,9800.0,186200.0,Bank Transfer,Cancelled
ORD-681343,2025-10-21,2025-10-21,BIZ-1012,1,5,7,10500.0,73500.0,Bank Transfer,Delivered
ORD-540869,2025-10-04,2025-10-04,BIZ-1051,2,5,21,9500.0,199500.0,Cash,Pending
ORD-497562,2025-10-20,2025-10-20,BIZ-1048,4,2,10,9800.0,98000.0,Bank Transfer,Delivered
ORD-282480,2025-10-21,2025-10-21,BIZ-1055,1,3,6,10500.0,63000.0,POS,Delivered
ORD-415568,2025-10-19,2025-10-19,BIZ-1014,2,3,15,10500.0,157500.0,Cash,Cancelled
ORD-974224,2025-10-13,2025-10-13,BIZ-1013,2,2,1,10500.0,10500.0,Bank Transfer,Pending
ORD-400850,2025-10-01,2025-10-01,BIZ-1046,4,5,23,10000.0,230000.0,Cash,Pending
ORD-923927,2025-10-07,2025-10-07,BIZ-1021,4,4,13,10500.0,136500.0,Bank Transfer,Pending
ORD-786508,2025-10-18,2025-10-18,BIZ-1010,2,5,37,10000.0,370000.0,Bank Transfer,Cancelled
ORD-563246,2025-10-10,2025-10-10,BIZ-1006,3,4,26,10000.0,260000.0,POS,Cancelled
ORD-324082,2025-10-14,2025-10-14,BIZ-1039,1,5,32,10000.0,320000.0,Bank Transfer,Cancelled
ORD-932291,2025-10-16,2025-10-16,BIZ-1035,1,4,13,10000.0,130000.0,POS,Cancelled
ORD-934692,2025-10-28,2025-10-28,BIZ-1019,4,4,3,10000.0,30000.0,POS,Pending
ORD-790855,2025-10-23,2025-10-23,BIZ-1029,2,5,9,9500.0,85500.0,POS,Pending
ORD-640490,2025-10-03,2025-10-03,BIZ-1017,1,5,12,9800.0,117600.0,POS,Cancelled
ORD-749342,2025-10-20,2025-10-20,BIZ-1017,2,3,18,9800.0,176400.0,Cash,Cancelled
ORD-958179,2025-10-11,2025-10-11,BIZ-1034,4,4,22,9500.0,209000.0,Bank Transfer,Delivered
ORD-346277,2025-10-29,2025-10-29,BIZ-1030,3,3,26,10000.0,260000.0,Bank Transfer,Pending
ORD-335552,2025-10-21,2025-10-21,BIZ-1001,4,5,35,9500.0,332500.0,POS,Cancelled
ORD-254511,2025-10-25,2025-10-25,BIZ-1018,2,4,17,10500.0,178500.0,POS,Delivered
ORD-356736,2025-10-01,2025-10-01,BIZ-1008,2,2,31,9500.0,294500.0,POS,Delivered
ORD-740967,2025-10-30,2025-10-30,BIZ-1019,4,4,30,10000.0,300000.0,Bank Transfer,Delivered
ORD-176365,2025-10-26,2025-10-26,BIZ-1026,4,4,3,10000.0,30000.0,Bank Transfer,Delivered
ORD-760356,2025-10-14,2025-10-14,BIZ-1042,4,3,35,9800.0,343000.0,Cash,Cancelled
ORD-853240,2025-10-18,2025-10-18,BIZ-1056,1,3,35,10500.0,367500.0,POS,Delivered
ORD-618392,2025-10-21,2025-10-21,BIZ-1015,2,4,32,10500.0,336000.0,POS,Pending
ORD-254739,2025-10-12,2025-10-12,BIZ-1025,4,2,14,10500.0,147000.0,Cash,Delivered
ORD-105814,2025-10-20,2025-10-20,BIZ-1008,3,3,24,10000.0,240000.0,Cash,Delivered
ORD-907451,2025-10-27,2025-10-27,BIZ-1053,3,2,8,10500.0,84000.0,POS,Cancelled
ORD-916232,2025-10-27,2025-10-27,BIZ-1035,3,5,39,9500.0,370500.0,Bank Transfer,Delivered
ORD-284430,2025-10-13,2025-10-13,BIZ-1056,3,2,37,9800.0,362600.0,POS,Delivered
ORD-829716,2025-10-25,2025-10-25,BIZ-1015,1,4,15,10000.0,150000.0,Cash,Delivered
ORD-152657,2025-10-16,2025-10-16,BIZ-1017,1,4,9,10000.0,90000.0,POS,Delivered
ORD-989545,2025-10-17,2025-10-17,BIZ-1058,2,2,9,9500.0,85500.0,POS,Pending
ORD-239816,2025-10-04,2025-10-04,BIZ-1004,2,4,2,10000.0,19600.0,Bank Transfer,Cancelled
ORD-800005,2025-10-25,2025-10-25,BIZ-1035,3,3,27,9500.0,256500.0,Cash,Pending
ORD-686075,2025-10-16,2025-10-16,BIZ-1059,4,2,33,9500.0,313500.0,POS,Delivered
ORD-891937,2025-10-18,2025-10-18,BIZ-1003,4,4,34,10000.0,340000.0,Bank Transfer,Pending
ORD-742412,2025-10-27,2025-10-27,BIZ-1040,3,3,26,10500.0,273000.0,POS,Pending
ORD-629298,2025-10-25,2025-10-25,BIZ-1000,2,2,5,9500.0,47500.0,Bank Transfer,Delivered
ORD-674485,2025-10-13,2025-10-13,BIZ-1060,4,5,18,10000.0,180000.0,Cash,Cancelled
ORD-266889,2025-10-14,2025-10-14,BIZ-1004,3,4,39,10500.0,409500.0,POS,Cancelled
ORD-597732,2025-10-23,2025-10-23,BIZ-1015,4,3,36,9800.0,352800.0,Bank Transfer,Pending
ORD-888295,2025-10-14,2025-10-14,BIZ-1028,4,3,22,10500.0,231000.0,POS,Delivered
ORD-768636,2025-10-08,2025-10-08,BIZ-1030,2,5,21,10500.0,220500.0,Cash,Delivered
ORD-915451,2025-10-09,2025-10-09,BIZ-1018,3,4,31,9500.0,294500.0,Bank Transfer,Pending
ORD-757193,2025-10-16,2025-10-16,BIZ-1050,1,4,7,10000.0,70000.0,POS,Cancelled
ORD-561239,2025-10-08,2025-10-08,BIZ-1001,3,3,36,10000.0,360000.0,Cash,Cancelled
ORD-399607,2025-10-03,2025-10-03,BIZ-1035,2,5,28,9500.0,266000.0,Cash,Delivered
ORD-452161,2025-10-08,2025-10-08,BIZ-1058,1,3,37,9800.0,362600.0,Bank Transfer,Delivered
ORD-666390,2025-10-10,2025-10-10,BIZ-1008,3,5,23,10000.0,230000.0,POS,Delivered
ORD-258157,2025-10-03,2025-10-03,BIZ-1004,2,1,28,9500.0,266000.0,Bank Transfer,Pending
ORD-827659,2025-10-07,2025-10-07,BIZ-1042,2,4,20,10000.0,200000.0,Bank Transfer,Delivered
ORD-324345,2025-10-05,2025-10-05,BIZ-1038,3,2,37,10500.0,388500.0,POS,Cancelled
ORD-527398,2025-10-02,2025-10-02,BIZ-1005,1,3,2,9500.0,19000.0,Cash,Pending
ORD-588557,2025-10-10,2025-10-10,BIZ-1004,2,5,22,9800.0,215600.0,POS,Pending
ORD-316881,2025-10-13,2025-10-13,BIZ-1006,3,2,37,9500.0,351500.0,Bank Transfer,Cancelled
ORD-508396,2025-10-25,2025-10-25,BIZ-1058,2,3,4,9500.0,38000.0,POS,Pending
ORD-712451,2025-10-28,2025-10-28,BIZ-1017,4,5,32,10500.0,336000.0,Bank Transfer,Cancelled
ORD-120480,2025-10-29,2025-10-29,BIZ-1019,4,4,8,10000.0,80000.0,Cash,Cancelled
ORD-902784,2025-10-26,2025-10-26,BIZ-1006,2,4,38,10500.0,399000.0,Bank Transfer,Pending
ORD-600149,2025-10-18,2025-10-18,BIZ-1014,3,2,39,9500.0,370500.0,Cash,Delivered
ORD-468845,2025-10-01,2025-10-01,BIZ-1029,2,5,9,10000.0,90000.0,Bank Transfer,Delivered
ORD-508930,2025-10-09,2025-10-09,BIZ-1046,1,2,32,10500.0,336000.0,Cash,Cancelled
ORD-976325,2025-10-26,2025-10-26,BIZ-1017,3,3,15,10000.0,150000.0,POS,Delivered
ORD-883826,2025-10-13,2025-10-13,BIZ-1014,4,4,28,9500.0,266000.0,Cash,Cancelled
ORD-938722,2025-10-23,2025-10-23,BIZ-1033,4,5,28,10500.0,294000.0,Bank Transfer,Pending
ORD-331251,2025-10-19,2025-10-19,BIZ-1039,1,3,2,10000.0,20000.0,POS,Pending
ORD-386193,2025-10-15,2025-10-15,BIZ-1032,3,2,6,10500.0,63000.0,Cash,Cancelled
ORD-130434,2025-10-14,2025-10-14,BIZ-1027,4,5,26,9500.0,247000.0,POS,Pending
ORD-801364,2025-10-12,2025-10-12,BIZ-1043,1,4,15,10000.0,150000.0,POS,Cancelled
ORD-523956,2025-10-21,2025-10-21,BIZ-1027,2,5,8,9800.0,78400.0,POS,Cancelled
ORD-981334,2025-10-22,2025-10-22,BIZ-1017,3,2,10,9800.0,98000.0,Cash,Delivered
ORD-233827,2025-10-15,2025-10-15,BIZ-1044,3,2,12,9800.0,117600.0,POS,Pending
ORD-660069,2025-10-30,2025-10-30,BIZ-1023,2,5,30,10500.0,315000.0,Bank Transfer,Pending
ORD-513160,2025-10-01,2025-10-01,BIZ-1024,4,5,5,10000.0,52500.0,Cash,Cancelled
ORD-795205,2025-10-18,2025-10-18,BIZ-1060,3,5,4,10000.0,40000.0,Cash,Pending
ORD-773971,2025-10-01,2025-10-01,BIZ-1014,2,5,3,9500.0,28500.0,Bank Transfer,Cancelled
ORD-584125,2025-10-13,2025-10-13,BIZ-1033,4,4,6,10500.0,63000.0,Cash,Cancelled
ORD-372793,2025-10-06,2025-10-06,BIZ-1051,4,2,13,10000.0,130000.0,Bank Transfer,Pending
ORD-321941,2025-10-12,2025-10-12,BIZ-1058,3,2,7,10000.0,70000.0,Bank Transfer,Delivered
ORD-453894,2025-10-14,2025-10-14,BIZ-1015,1,5,29,10500.0,304500.0,Cash,Pending
ORD-497542,2025-10-23,2025-10-23,BIZ-1001,2,4,25,10500.0,262500.0,POS,Cancelled
ORD-972335,2025-10-09,2025-10-09,BIZ-1052,2,4,22,9500.0,209000.0,POS,Cancelled
ORD-975467,2025-10-13,2025-10-13,BIZ-1043,2,2,25,10000.0,250000.0,Cash,Delivered
ORD-120324,2025-10-03,2025-10-03,BIZ-1007,2,5,38,9800.0,372400.0,POS,Cancelled
ORD-154615,2025-10-23,2025-10-23,BIZ-1030,3,5,26,9800.0,254800.0,POS,Pending
ORD-466960,2025-10-30,2025-10-30,BIZ-1013,3,3,22,9800.0,215600.0,POS,Pending
ORD-171951,2025-10-07,2025-10-07,BIZ-1005,2,2,2,10000.0,20000.0,Bank Transfer,Pending
ORD-783414,2025-10-24,2025-10-24,BIZ-1057,1,2,32,9800.0,313600.0,Bank Transfer,Delivered
ORD-132537,2025-10-02,2025-10-02,BIZ-1029,3,5,19,9500.0,180500.0,POS,Delivered
ORD-309044,2025-10-29,2025-10-29,BIZ-1055,1,2,39,10500.0,409500.0,Bank Transfer,Cancelled
ORD-751517,2025-10-26,2025-10-26,BIZ-1032,4,4,40,10000.0,392000.0,Cash,Pending
ORD-232352,2025-10-05,2025-10-05,BIZ-1045,2,3,16,10500.0,168000.0,Bank Transfer,Cancelled
ORD-219946,2025-10-15,2025-10-15,BIZ-1043,4,2,16,10000.0,160000.0,Cash,Cancelled
ORD-328552,2025-10-17,2025-10-17,BIZ-1039,4,5,37,10500.0,388500.0,Cash,Cancelled
ORD-368690,2025-10-14,2025-10-14,BIZ-1045,1,2,34,10500.0,357000.0,POS,Delivered
ORD-275939,2025-10-24,2025-10-24,BIZ-1053,4,5,17,9500.0,161500.0,POS,Delivered
ORD-884256,2025-10-19,2025-10-19,BIZ-1002,2,4,34,9500.0,323000.0,Bank Transfer,Pending
ORD-915573,2025-10-22,2025-10-22,BIZ-1031,4,4,29,9800.0,284200.0,Bank Transfer,Pending
ORD-426147,2025-10-25,2025-10-25,BIZ-1024,4,4,23,9500.0,218500.0,Cash,Cancelled
ORD-126925,2025-10-04,2025-10-04,BIZ-1029,4,4,24,9800.0,235200.0,Cash,Delivered
ORD-703766,2025-10-28,2025-10-28,BIZ-1057,3,5,2,10000.0,20000.0,Bank Transfer,Delivered
ORD-493537,2025-10-21,2025-10-21,BIZ-1030,4,1,3,10000.0,30000.0,POS,Pending
ORD-849747,2025-10-12,2025-10-12,BIZ-1034,3,4,29,9500.0,275500.0,Cash,Delivered
ORD-720859,2025-10-06,2025-10-06,BIZ-1043,3,5,10,10500.0,105000.0,Bank Transfer,Pending
ORD-757711,2025-10-21,2025-10-21,BIZ-1047,1,1,8,9500.0,76000.0,POS,Cancelled
ORD-831059,2025-10-08,2025-10-08,BIZ-1016,3,3,30,9500.0,285000.0,POS,Cancelled
ORD-991597,2025-10-24,2025-10-24,BIZ-1055,1,5,2,9800.0,19600.0,Cash,Delivered
ORD-944657,2025-10-21,2025-10-21,BIZ-1002,1,3,40,10000.0,400000.0,Bank Transfer,Cancelled
ORD-693423,2025-10-04,2025-10-04,BIZ-1016,3,1,6,10000.0,60000.0,Cash,Pending
ORD-464069,2025-10-24,2025-10-24,BIZ-1027,2,5,3,10500.0,31500.0,POS,Delivered
ORD-793655,2025-10-16,2025-10-16,BIZ-1026,2,2,23,9500.0,218500.0,POS,Cancelled
ORD-630538,2025-10-12,2025-10-12,BIZ-1033,1,4,7,10000.0,70000.0,Cash,Cancelled
ORD-113266,2025-10-20,2025-10-20,BIZ-1011,4,3,22,9800.0,215600.0,POS,Delivered
ORD-962276,2025-10-26,2025-10-26,BIZ-1006,4,4,9,9500.0,85500.0,Cash,Delivered
ORD-554582,2025-10-15,2025-10-15,BIZ-1025,3,5,3,9800.0,29400.0,Cash,Cancelled
ORD-766459,2025-10-29,2025-10-29,BIZ-1058,2,4,26,10500.0,273000.0,POS,Delivered
ORD-582071,2025-10-27,2025-10-27,BIZ-1010,3,5,19,10000.0,190000.0,Cash,Delivered
ORD-556641,2025-10-22,2025-10-22,BIZ-1055,4,3,24,10500.0,252000.0,Cash,Pending
ORD-647091,2025-10-06,2025-10-06,BIZ-1044,4,5,12,10500.0,126000.0,POS,Pending
ORD-383201,2025-10-29,2025-10-29,BIZ-1047,3,3,6,10500.0,63000.0,POS,Delivered
ORD-664315,2025-10-19,2025-10-19,BIZ-1027,2,4,35,10000.0,350000.0,Bank Transfer,Pending
ORD-587455,2025-10-24,2025-10-24,BIZ-1042,4,3,19,10000.0,190000.0,Bank Transfer,Cancelled
ORD-866536,2025-10-14,2025-10-14,BIZ-1042,4,4,29,10000.0,290000.0,POS,Pending
ORD-437960,2025-10-18,2025-10-18,BIZ-1041,2,4,40,10500.0,420000.0,Bank Transfer,Cancelled
ORD-971084,2025-10-26,2025-10-26,BIZ-1027,1,4,26,10000.0,260000.0,Bank Transfer,Cancelled
ORD-392477,2025-10-29,2025-10-29,BIZ-1017,1,4,29,9500.0,275500.0,Bank Transfer,Cancelled
ORD-355709,2025-10-27,2025-10-27,BIZ-1049,4,4,24,10000.0,240000.0,POS,Delivered
ORD-697530,2025-10-23,2025-10-23,BIZ-1011,2,3,29,10000.0,290000.0,Bank Transfer,Cancelled
ORD-497399,2025-10-19,2025-10-19,BIZ-1058,4,1,9,10000.0,90000.0,POS,Pending
